time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,28.0,-0.2,16.0,,,,11.2,,,,
2019-10-07 02:00:00,,,,,,,,,,,
2019-10-07 03:00:00,,,,,,,,,,,
2019-10-07 04:00:00,22.0,-0.1,23.0,,,,0.0,,,,
2019-10-07 05:00:00,22.0,-0.1,23.0,,,,0.0,,,,
2019-10-07 06:00:00,19.0,0.1,28.0,,,,0.0,,,,
2019-10-07 07:00:00,17.0,1.8,36.0,,,,0.0,,,,
2019-10-07 08:00:00,17.0,0.2,32.0,,,,0.0,,,,
2019-10-07 09:00:00,14.0,0.9,41.0,,,,0.0,,,,
2019-10-07 10:00:00,13.0,1.9,47.0,,,,0.0,,,,
2019-10-07 11:00:00,14.0,0.9,41.0,,,,0.0,,,,
2019-10-07 12:00:00,12.0,1.9,50.0,,,,0.0,,,,
2019-10-07 13:00:00,12.0,3.0,54.0,,,,0.0,,,,
2019-10-07 14:00:00,12.0,3.0,54.0,,,,,,,,
2019-10-07 15:00:00,13.0,3.1,51.0,,,,,,,,
2019-10-07 16:00:00,18.0,3.1,37.0,,,,,,,,
2019-10-07 17:00:00,22.0,3.1,29.0,,,,,,,,
2019-10-07 18:00:00,22.0,3.1,29.0,,,,0.0,,,,
2019-10-07 19:00:00,24.0,2.8,25.0,,,,0.0,,,,
2019-10-07 20:00:00,28.0,-0.2,16.0,,,,,,,,
2019-10-07 21:00:00,29.0,-0.3,15.0,,,,,,,,
2019-10-07 22:00:00,29.0,-0.3,15.0,,,,0.0,,,,
2019-10-07 23:00:00,30.0,2.3,17.0,,,,,,,,
2019-10-08 00:00:00,30.0,2.3,17.0,,,,0.0,,,,
2019-10-08 01:00:00,29.0,3.0,19.0,,,,0.0,,,,
2019-10-08 02:00:00,,,,,,,,,,,
2019-10-08 03:00:00,,,,,,,,,,,
2019-10-08 04:00:00,22.0,2.1,27.0,,,,0.0,,,,
2019-10-08 05:00:00,21.0,1.8,28.0,,,,0.0,,,,
2019-10-08 06:00:00,20.0,1.9,30.0,,,,0.0,,,,
2019-10-08 07:00:00,20.0,1.9,30.0,,,,0.0,,,,
2019-10-08 08:00:00,17.0,2.9,39.0,,,,0.0,,,,
2019-10-08 09:00:00,15.0,4.1,48.0,,,,0.0,,,,
2019-10-08 10:00:00,14.0,5.1,55.0,,,,0.0,,,,
2019-10-08 11:00:00,13.0,4.9,58.0,,,,0.0,,,,
2019-10-08 12:00:00,14.0,2.9,47.0,,,,0.0,,,,
2019-10-08 13:00:00,14.0,2.9,47.0,,,,0.0,,,,
2019-10-08 14:00:00,11.0,5.1,67.0,,,,0.0,,,,
2019-10-08 15:00:00,13.0,3.9,54.0,,,,0.0,,,,
