time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-25 19:00:00,24.0,9.2,39.0,0.0,,,7.6,,1016.4,,
2020-09-25 20:00:00,25.0,8.1,34.0,0.0,,110.0,7.6,,1015.6,,
2020-09-25 21:00:00,26.0,8.9,34.0,0.0,,200.0,11.2,,1015.0,,
2020-09-25 22:00:00,25.0,8.9,36.0,0.0,,,7.6,,1014.2,,
2020-09-25 23:00:00,25.0,8.1,34.0,0.0,,230.0,9.4,,1014.0,,
2020-09-26 00:00:00,24.0,8.0,36.0,0.0,,290.0,11.2,,1014.6,,
2020-09-26 01:00:00,24.0,8.0,36.0,0.0,,310.0,11.2,,1014.8,,
2020-09-26 02:00:00,22.0,8.8,43.0,0.0,,0.0,0.0,,1015.8,,
2020-09-26 03:00:00,20.0,8.0,46.0,0.0,,0.0,0.0,,1016.7,,
2020-09-26 04:00:00,19.0,8.0,49.0,0.0,,0.0,0.0,,1016.4,,
2020-09-26 05:00:00,18.0,8.0,52.0,0.0,,0.0,0.0,,1016.4,,
2020-09-26 06:00:00,18.0,8.0,52.0,0.0,,30.0,7.6,,1016.0,,
2020-09-26 07:00:00,18.0,8.0,52.0,0.0,,0.0,0.0,,1015.8,,5.0
2020-09-26 08:00:00,19.0,7.1,46.0,0.0,,0.0,0.0,,1015.0,,5.0
2020-09-26 09:00:00,19.0,6.1,43.0,0.0,,10.0,7.6,,1015.3,,5.0
2020-09-26 10:00:00,19.0,6.1,43.0,0.0,,0.0,0.0,,1015.3,,5.0
2020-09-26 11:00:00,19.0,6.1,43.0,0.0,,0.0,0.0,,1015.1,,5.0
2020-09-26 12:00:00,17.0,7.9,55.0,0.0,,0.0,0.0,,1015.0,,
2020-09-26 13:00:00,16.0,8.0,59.0,0.0,,0.0,0.0,,1015.3,,
2020-09-26 14:00:00,16.0,8.0,59.0,0.0,,0.0,0.0,,1016.0,,
2020-09-26 15:00:00,18.0,8.0,52.0,0.0,,360.0,7.6,,1017.1,,
2020-09-26 16:00:00,20.0,8.0,46.0,0.0,,0.0,0.0,,1016.6,,
2020-09-26 17:00:00,22.0,8.1,41.0,0.0,,310.0,11.2,,1016.0,,
2020-09-26 18:00:00,23.0,7.1,36.0,0.0,,300.0,9.4,,1016.1,,
2020-09-26 19:00:00,23.0,7.1,36.0,0.0,,300.0,9.4,,1015.6,,
2020-09-26 20:00:00,25.0,8.1,34.0,0.0,,270.0,14.8,,1014.9,,
2020-09-26 21:00:00,25.0,8.9,36.0,0.0,,260.0,9.4,,1014.6,,
2020-09-26 22:00:00,25.0,8.9,36.0,0.0,,320.0,13.0,,1014.1,,
2020-09-26 23:00:00,25.0,8.9,36.0,0.0,,310.0,11.2,,1014.3,,
2020-09-27 00:00:00,25.0,7.2,32.0,0.0,,300.0,11.2,,1014.4,,
2020-09-27 01:00:00,24.0,7.2,34.0,0.0,,310.0,9.4,,1014.8,,
2020-09-27 02:00:00,22.0,8.1,41.0,0.0,,320.0,7.6,,1015.1,,
2020-09-27 03:00:00,21.0,7.9,43.0,0.0,,10.0,7.6,,1015.2,,
2020-09-27 04:00:00,21.0,6.9,40.0,0.0,,360.0,7.6,,1014.6,,
2020-09-27 05:00:00,21.0,6.9,40.0,0.0,,350.0,9.4,,1013.7,,
2020-09-27 06:00:00,21.0,7.9,43.0,0.0,,360.0,5.4,,1013.8,,
2020-09-27 07:00:00,20.0,6.0,40.0,0.0,,30.0,5.4,,1013.2,,
2020-09-27 08:00:00,22.0,4.1,31.0,0.0,,60.0,7.6,,1012.1,,
2020-09-27 09:00:00,21.0,4.1,33.0,0.0,,30.0,9.4,,1012.4,,
2020-09-27 10:00:00,23.0,3.0,27.0,0.0,,90.0,13.0,,1011.9,,
2020-09-27 11:00:00,23.0,1.9,25.0,0.0,,100.0,22.3,,1011.7,,
2020-09-27 12:00:00,23.0,1.9,25.0,0.0,,90.0,18.4,,1012.7,,
2020-09-27 13:00:00,22.0,2.1,27.0,0.0,,90.0,16.6,,1013.4,,
2020-09-27 14:00:00,22.0,2.1,27.0,0.0,,90.0,18.4,,1013.2,,
2020-09-27 15:00:00,23.0,1.9,25.0,0.0,,80.0,7.6,,1013.9,,
2020-09-27 16:00:00,24.0,2.2,24.0,0.0,,0.0,0.0,,1014.2,,
2020-09-27 17:00:00,27.0,2.8,21.0,0.0,,90.0,9.4,,1013.9,,
2020-09-27 18:00:00,29.0,0.6,16.0,0.0,,90.0,22.3,,1014.4,,
2020-09-27 19:00:00,31.0,0.4,14.0,0.0,,100.0,11.2,,1014.2,,
2020-09-27 20:00:00,32.0,-1.0,12.0,0.0,,70.0,16.6,,1013.2,,
2020-09-27 21:00:00,33.0,-0.2,12.0,0.0,,70.0,11.2,,1013.1,,
2020-09-27 22:00:00,32.0,3.9,17.0,0.0,,80.0,7.6,,1012.6,,
2020-09-27 23:00:00,34.0,-0.6,11.0,0.0,,60.0,9.4,,1013.3,,
2020-09-28 00:00:00,33.0,0.9,13.0,0.0,,90.0,13.0,,1013.4,,
2020-09-28 01:00:00,31.0,1.3,15.0,0.0,,80.0,14.8,,1013.5,,
2020-09-28 02:00:00,28.0,-0.2,16.0,0.0,,80.0,16.6,,1014.5,,
2020-09-28 03:00:00,26.0,-0.9,17.0,0.0,,90.0,20.5,,1014.9,,
2020-09-28 04:00:00,26.0,-1.8,16.0,0.0,,110.0,20.5,,1015.2,,
2020-09-28 05:00:00,25.0,-1.8,17.0,0.0,,110.0,20.5,,1014.6,,
2020-09-28 06:00:00,25.0,-2.6,16.0,0.0,,90.0,18.4,,1014.6,,
2020-09-28 07:00:00,25.0,-4.4,14.0,0.0,,100.0,20.5,,1014.1,,
2020-09-28 08:00:00,24.0,-5.2,14.0,0.0,,100.0,18.4,,1013.8,,
2020-09-28 09:00:00,24.0,-5.2,14.0,0.0,,100.0,20.5,,1014.7,,
2020-09-28 10:00:00,24.0,-5.2,14.0,0.0,,110.0,16.6,,1014.7,,
2020-09-28 11:00:00,24.0,-5.2,14.0,0.0,,110.0,14.8,,1015.5,,
2020-09-28 12:00:00,24.0,-5.2,14.0,0.0,,90.0,20.5,,1015.2,,
2020-09-28 13:00:00,23.0,-5.0,15.0,0.0,,100.0,20.5,,1016.0,,
2020-09-28 14:00:00,24.0,-6.1,13.0,0.0,,90.0,25.9,,1016.8,,
2020-09-28 15:00:00,24.0,-6.1,13.0,0.0,,90.0,20.5,,1017.2,,
2020-09-28 16:00:00,26.0,-3.6,14.0,0.0,,100.0,16.6,,1016.6,,
